TransactionID,CustomerID,ItemID,Quantity,TransactionType,RatePerGram,TotalAmount,TransactionDate,StaffID,BranchID
99,753,28,5,Buy,58.837381785433216,985.53,2025-03-09,33,1
100,189,38,5,Buy,69.95527036714356,14617.15,2025-02-20,20,1
101,533,11,4,Buy,61.694366407677954,1764.46,2024-08-03,37,5
102,438,52,5,Buy,54.75054937667363,5576.34,2025-02-20,20,3
103,860,69,3,Buy,69.44059159762007,12722.21,2024-05-30,3,2
104,835,81,2,Buy,51.87084136540675,423.27,2024-09-10,3,3
105,980,84,5,Sell,52.11804630099173,4591.6,2024-05-04,7,4
106,674,33,5,Sell,67.64427180359723,977.46,2024-11-25,8,5
107,559,4,5,Sell,60.521295973428025,18967.37,2024-09-25,22,2
108,784,92,2,Buy,55.499369447889755,6770.92,2024-10-24,16,1
109,182,77,1,Sell,67.80205236005362,4047.78,2024-09-14,46,2
110,858,40,5,Buy,50.40889173187709,14197.66,2024-10-30,10,5
111,456,25,5,Sell,68.6733549611744,6760.89,2025-03-21,49,4
112,108,14,1,Sell,66.81929460211343,5902.15,2024-12-15,17,5
113,788,85,1,Sell,63.35476254557758,3737.3,2024-12-16,14,5
114,577,54,3,Sell,54.44652166662699,14522.52,2024-08-15,3,2
115,314,60,1,Sell,67.1257241225534,1481.46,2024-08-05,38,4
116,30,52,2,Sell,66.30226878163143,2701.15,2024-11-07,34,4
117,146,42,2,Buy,61.19101928318008,882.37,2024-05-26,36,1
118,143,100,3,Buy,60.13562295708809,7950.53,2025-03-10,34,2
119,858,85,2,Sell,59.21771996802284,6986.51,2025-01-07,47,3
120,168,6,4,Buy,54.178033151437795,13535.84,2024-10-26,12,2
121,699,8,1,Sell,56.481300730043586,1721.55,2025-03-27,30,2
122,848,68,2,Sell,51.20691868708059,5517.03,2024-05-27,19,4
123,458,61,1,Sell,52.41940186173599,1147.98,2024-07-05,49,2
124,269,72,1,Sell,65.93719941828749,468.15,2024-07-29,2,1
125,319,52,4,Sell,63.99569970643109,5214.37,2025-03-05,13,2
126,795,70,4,Sell,61.2505405778003,20300.88,2024-09-10,43,5
127,784,48,2,Sell,69.82431812704101,10800.43,2025-02-17,36,5
128,507,17,2,Sell,68.47255762553752,597.08,2024-07-20,2,4
129,470,58,1,Buy,54.24776749193957,4764.04,2024-06-19,20,2
130,392,96,5,Buy,59.533911466136246,12671.79,2025-01-04,47,4
131,687,12,1,Sell,59.48977011728296,5765.15,2025-01-10,39,5
132,654,11,4,Buy,69.82152336790818,1996.9,2024-06-23,38,1
133,737,59,2,Buy,53.99851377547327,9855.81,2024-09-05,14,1
134,881,83,3,Buy,51.99068670730321,10099.19,2025-03-26,13,2
135,572,49,3,Sell,56.489593594304864,3748.65,2024-12-12,8,2
136,855,24,2,Sell,61.28665304223647,3812.03,2024-10-12,5,3
137,363,83,1,Sell,64.40147058509824,4170.0,2025-03-06,13,2
138,372,13,2,Sell,55.756931260714566,2997.49,2024-07-01,4,5
139,942,1,3,Sell,53.92141297559993,14238.49,2024-08-01,21,1
140,690,87,4,Buy,60.819340400724656,3130.98,2024-11-30,47,3
141,813,52,3,Sell,50.601648322826485,3092.27,2025-01-27,4,2
142,38,64,1,Buy,61.389937962452635,4868.22,2025-02-05,31,2
143,462,95,2,Sell,50.60324166728598,3468.35,2025-02-15,27,3
144,409,11,3,Buy,60.59631789477525,1299.79,2024-06-09,13,1
145,434,63,4,Sell,58.85235306015802,21970.76,2024-05-27,30,2
146,139,97,2,Buy,59.817415195525186,3997.0,2024-07-20,19,1
147,950,3,3,Buy,64.18252026309858,5901.58,2024-12-11,12,1
148,987,97,3,Sell,55.598265558993326,5572.61,2024-06-06,46,5
149,626,54,5,Buy,60.313592537714385,26812.41,2024-11-21,22,5
150,995,56,4,Buy,57.36981630423876,18188.53,2024-07-25,10,1
151,233,77,1,Sell,55.72926631414613,3327.04,2024-06-22,46,2
152,982,33,2,Sell,51.33252332457891,296.7,2024-12-05,47,2
153,109,81,4,Sell,61.42161333636859,1002.4,2024-05-21,44,3
154,606,73,2,Buy,54.00264597492408,7519.33,2024-10-08,16,2
155,941,76,4,Buy,62.881828107958356,6403.89,2025-02-08,27,4
156,499,80,3,Buy,52.44752212820754,9887.41,2025-03-11,4,1
157,816,51,4,Sell,58.18094895767558,13665.54,2024-08-16,49,2
158,475,40,3,Sell,54.81581279734277,9263.32,2024-06-28,43,5
159,413,69,3,Sell,67.38903687269766,12346.35,2024-10-31,33,4
160,641,58,4,Sell,63.56064326752083,22327.58,2024-12-09,14,3
161,73,9,5,Sell,53.1689657913737,15535.97,2024-06-28,3,5
162,992,58,2,Sell,59.9071265223919,10522.09,2025-02-05,29,5
163,539,84,4,Buy,68.70451911780988,4842.29,2024-04-02,46,2
164,35,22,4,Buy,66.4248551568161,7923.16,2024-06-16,33,2
165,672,42,1,Buy,61.5405080593767,443.71,2024-05-11,3,4
166,121,100,1,Buy,65.21913331223513,2874.21,2024-05-30,50,4
167,998,17,5,Sell,57.086826360437755,1244.49,2024-10-26,32,5
168,309,97,2,Buy,68.12861119906358,4552.35,2024-11-03,5,4
169,699,15,4,Sell,67.84928660227534,18178.18,2024-10-07,43,3
170,960,5,2,Buy,53.30753494294735,9180.62,2024-08-24,25,3
171,395,25,2,Buy,50.54267577043514,1990.37,2025-01-25,48,5
172,42,12,3,Buy,52.319100167666214,15210.73,2024-11-21,14,5
173,507,37,5,Buy,53.36407122976803,9506.81,2025-02-11,40,4
174,603,70,2,Sell,63.544419961030954,10530.58,2025-01-29,23,2
175,112,53,1,Buy,60.840402802932815,4036.15,2024-05-19,11,3
176,232,30,3,Buy,65.32822205302796,8129.44,2024-12-08,7,5
177,151,36,3,Buy,55.36195427372564,8531.83,2024-10-26,46,5
178,728,69,2,Sell,60.49132621020021,7388.41,2024-09-24,23,1
179,317,13,3,Sell,63.225689283894596,5098.52,2024-12-02,11,4
180,237,59,4,Buy,63.36374783646873,23130.3,2025-02-17,4,2
181,230,9,4,Sell,54.78153492651711,12805.73,2025-02-03,40,5
182,341,32,2,Sell,50.289029360933306,8187.05,2024-06-19,13,3
183,769,11,3,Buy,63.988113230945686,1372.55,2024-11-02,35,5
184,639,11,1,Sell,60.406473634357184,431.91,2025-03-26,21,2
185,877,93,4,Buy,56.74922194382066,14859.22,2024-07-31,32,4
186,287,50,4,Sell,58.901360438046964,23068.13,2025-01-03,39,4
187,586,34,3,Buy,69.54112816336514,7961.07,2024-10-25,30,2
188,354,5,2,Sell,56.97714288527284,9812.6,2024-06-24,44,1
189,655,94,3,Buy,54.68682136971323,16330.58,2024-07-26,42,3
190,431,40,2,Buy,56.90399183138286,6410.8,2025-02-03,33,1
191,26,54,3,Buy,63.93896377949083,17054.44,2024-12-20,46,2
192,538,2,1,Buy,68.94802861545874,4283.05,2024-12-18,31,3
193,288,45,4,Buy,67.03122801451667,21731.52,2024-10-25,22,5
194,192,23,4,Buy,56.945651113958775,11623.75,2024-12-25,38,2
195,216,81,3,Buy,54.304471539221865,664.69,2025-03-31,41,3
196,270,22,2,Buy,53.90798267694969,3215.07,2024-05-05,47,4
197,325,15,5,Sell,58.6701991848586,19648.65,2024-08-23,32,1
198,248,83,1,Buy,58.817078908320006,3808.41,2024-09-23,21,1
199,916,99,3,Sell,65.42383249860309,13994.16,2024-10-11,50,2
200,888,24,4,Sell,55.86782678152757,6949.96,2024-05-03,45,2
201,589,8,5,Sell,59.5435416290819,9074.44,2024-06-05,44,3
202,33,72,4,Sell,66.2506792929735,1881.52,2024-12-11,2,3
203,102,63,1,Buy,50.81488144524178,4742.55,2024-12-26,49,1
204,309,64,1,Buy,50.39531059834431,3996.35,2024-06-29,21,3
205,167,15,2,Sell,52.84759546626805,7079.46,2025-02-26,44,4
206,154,39,3,Buy,56.750525586763146,5625.11,2024-12-15,39,5
207,553,4,4,Sell,50.60327486077302,12687.25,2024-08-11,36,1
208,843,43,2,Buy,64.83496571302037,6740.24,2024-04-26,22,4
209,103,13,5,Buy,67.96707469269543,9134.77,2024-05-05,35,4
210,424,22,1,Buy,65.82555725323832,1962.92,2024-07-15,47,5
211,35,46,5,Sell,58.585420667094915,19722.78,2024-11-09,34,2
212,322,4,2,Buy,69.22013970485996,8677.44,2024-10-09,31,1
213,254,62,4,Buy,67.54300533828521,9574.9,2024-11-07,2,1
214,532,22,3,Buy,51.906899339834744,4643.59,2024-08-23,27,3
215,586,49,3,Sell,58.137822489878005,3858.03,2024-12-05,35,3
216,801,79,2,Sell,67.85681830933467,3645.27,2024-12-28,25,1
217,984,8,2,Buy,51.01303192851377,3109.75,2024-08-18,4,2
218,696,89,1,Buy,58.26588990852779,402.03,2024-09-19,39,3
219,36,5,2,Buy,65.17913232016451,11225.15,2024-08-28,32,3
220,367,88,3,Buy,58.49523991208692,1716.25,2024-08-08,1,4
221,552,3,3,Sell,60.58799708984438,5571.07,2024-04-24,39,1
222,61,23,1,Sell,66.9492227458838,3416.42,2024-12-18,24,5
223,564,46,5,Buy,65.81402949062841,22156.29,2024-11-04,49,4
224,178,56,3,Buy,56.019665633079285,13320.36,2024-05-06,14,4
225,66,80,5,Buy,62.10312768523739,19512.8,2024-12-31,3,1
226,113,55,4,Sell,60.9015642192567,19444.65,2025-01-27,10,4
227,467,73,4,Buy,54.79803727981953,15260.16,2025-03-29,13,2
228,816,82,5,Sell,64.26899659185675,16375.74,2024-07-05,21,5
229,810,41,3,Buy,58.1816860725032,2003.78,2024-09-05,8,2
230,621,23,4,Buy,56.73759099245246,11581.28,2024-06-24,15,1
231,831,17,2,Sell,55.46493271727927,483.65,2025-01-06,9,1
232,549,60,5,Sell,66.42432216418132,7329.92,2024-05-03,2,2
233,856,21,1,Buy,65.04792146842462,1745.24,2024-07-28,21,5
234,150,63,4,Sell,62.390672228856346,23291.69,2024-08-25,34,1
235,812,18,4,Sell,56.125592576511835,10345.07,2024-08-14,4,3
236,793,90,4,Buy,55.170831849715974,7359.79,2024-09-13,6,3
237,827,91,1,Sell,50.16819715828847,4926.02,2024-05-07,23,4
238,208,23,3,Sell,52.81032355262231,8084.73,2024-05-19,41,2
239,407,76,5,Buy,58.12301855150844,7399.06,2024-07-19,29,3
240,777,34,4,Sell,57.681101428999625,8804.44,2025-01-07,29,2
241,676,100,2,Buy,56.20820327617224,4954.19,2025-03-06,29,1
242,720,81,4,Sell,52.20080244373158,851.92,2024-12-12,18,1
243,663,58,5,Buy,63.77248008195275,28002.5,2024-12-25,22,1
244,731,6,5,Buy,60.66197984086376,18944.74,2024-08-19,42,4
245,934,80,3,Sell,59.313003955436365,11181.69,2024-09-15,12,5
246,159,24,4,Buy,53.00081002111764,6593.3,2024-06-11,8,2
247,576,44,2,Sell,68.04098648461431,11894.93,2024-06-04,25,4
248,21,55,1,Sell,50.83981373750232,4058.03,2024-08-11,43,3
249,47,13,5,Buy,54.662428937874616,7346.63,2024-06-05,16,3
250,962,1,2,Sell,66.64575127502329,11732.32,2024-05-25,28,5
251,579,92,3,Buy,63.120479537316974,11551.05,2025-02-26,25,3
252,393,64,4,Sell,59.726864104050065,18945.36,2024-09-12,1,5
253,966,32,2,Buy,51.72802460028156,8421.32,2024-12-22,5,5
254,56,22,4,Buy,53.43455266445625,6373.67,2024-05-03,30,4
255,265,29,1,Buy,65.73927087199559,3338.9,2024-10-26,46,1
256,715,2,5,Buy,65.1476208982214,20234.85,2024-10-09,38,4
257,818,31,2,Buy,59.48988972280594,6416.58,2024-06-02,12,2
258,935,21,4,Sell,63.78817773902888,6845.75,2024-06-19,14,3
259,306,48,4,Sell,67.09043421002507,20755.1,2024-09-28,48,4
260,59,30,5,Buy,68.6341716803817,14234.73,2024-06-13,16,3
261,668,67,1,Buy,52.784974209176674,1379.8,2024-06-29,11,1
262,489,57,1,Buy,53.224334176735546,1880.95,2025-01-18,32,2
263,43,5,4,Buy,54.977576431261284,18936.48,2024-07-27,12,1
264,490,33,4,Sell,58.71491890864843,678.74,2024-06-01,6,3
265,367,82,3,Sell,52.18494894919831,7978.03,2025-02-04,25,3
266,70,3,1,Sell,61.53206728966012,1885.96,2024-09-14,43,2
267,485,24,4,Sell,54.781436658617736,6814.81,2024-04-19,22,2
268,359,66,3,Sell,56.32060100917009,4100.7,2025-01-15,13,3
269,529,82,3,Buy,54.60666303643872,8348.27,2024-06-20,13,1
270,850,76,1,Sell,51.38391048134039,1308.23,2024-05-03,32,2
271,239,18,5,Sell,63.928540397576825,14729.14,2024-06-25,38,4
272,257,84,2,Buy,64.51841593276464,2273.63,2025-02-06,3,5
273,396,48,2,Sell,62.66308919547917,9692.73,2025-02-13,24,5
274,400,21,5,Sell,59.76193556850389,8017.06,2024-10-28,30,5
275,5,97,2,Sell,57.09054646537025,3814.79,2024-06-29,1,2
276,283,89,5,Buy,62.409272478288855,2153.12,2024-06-27,35,1
277,107,38,2,Buy,63.37386664599711,5296.79,2025-01-04,8,5
278,717,62,3,Buy,67.6738418439939,7195.08,2024-10-04,21,5
279,378,79,1,Buy,64.9799473124201,1745.36,2024-06-14,6,4
280,552,77,5,Sell,64.51492001513381,19257.7,2025-02-23,44,1
281,168,88,4,Buy,69.09581514441062,2703.03,2024-04-12,28,4
282,905,33,5,Sell,65.38031790513188,944.75,2024-12-23,8,1
283,909,19,4,Buy,54.54357834287512,8081.18,2024-07-29,31,2
284,372,66,2,Buy,58.75394321623824,2851.92,2024-11-08,33,4
285,845,92,4,Buy,53.079976215674414,12951.51,2024-08-01,47,4
286,895,71,3,Sell,66.49851945390705,506.72,2025-02-16,47,5
287,471,88,2,Buy,55.1901882678587,1079.52,2024-07-02,32,2
288,417,26,1,Sell,63.051169113488015,5217.48,2025-03-02,34,4
289,734,98,3,Sell,52.118827991109995,4055.89,2025-01-09,40,5
290,138,6,4,Buy,68.55368370941738,17127.45,2025-02-19,2,4
291,554,56,2,Sell,61.790028901550755,9794.96,2024-08-20,49,4
292,92,52,4,Buy,54.947187172310905,4477.1,2024-06-19,2,2
293,13,91,5,Buy,64.8746175810218,31850.19,2024-12-09,42,3
294,906,3,3,Buy,59.60084603888005,5480.3,2024-08-09,40,5
295,274,82,3,Buy,67.43635056907002,10309.67,2025-02-03,11,3
296,203,71,2,Buy,54.88971780190215,278.84,2024-08-07,29,4
297,690,6,1,Buy,66.74461277452812,4168.87,2024-05-19,19,4
298,771,41,3,Buy,65.49339681019097,2255.59,2025-01-22,46,2
299,347,64,5,Sell,67.37484635466743,26714.13,2024-11-07,19,4
300,570,65,2,Buy,69.89750830394979,7481.83,2025-02-06,30,4
301,216,70,4,Sell,54.57990271158347,18089.96,2025-01-24,44,5
302,356,89,3,Buy,52.11696643663663,1078.82,2024-06-03,16,2
303,197,94,2,Buy,69.9389862545642,13923.45,2025-01-07,48,4
304,949,74,4,Sell,65.8405020237804,7476.85,2025-02-08,41,4
305,429,40,2,Buy,59.15347927972449,6664.23,2024-11-23,13,2
306,231,72,2,Sell,52.02289871481422,738.73,2024-04-05,50,2
307,939,48,3,Sell,53.914492189980265,12509.24,2024-08-07,35,3
308,847,72,3,Buy,59.65353620815452,1270.62,2024-09-25,28,3
309,486,23,3,Sell,51.297187574904754,7853.09,2024-09-30,28,5
310,187,5,3,Buy,66.6830835461765,17226.24,2024-08-27,34,4
311,40,44,4,Buy,57.57311858775074,20129.87,2024-04-27,37,1
312,856,95,1,Buy,51.55241212593275,1766.7,2024-09-21,38,2
313,955,11,3,Buy,64.63658625144434,1386.45,2024-04-01,46,5
314,261,64,2,Sell,63.768759321589314,10113.73,2025-01-09,11,4
315,811,49,3,Buy,60.41400298232989,4009.07,2024-12-07,37,3
316,745,64,1,Sell,60.724512989171785,4815.45,2024-08-14,25,5
317,115,71,4,Sell,59.237464576265864,601.85,2025-01-19,48,4
318,529,73,4,Sell,63.953385212817224,17809.74,2024-08-11,27,3
319,724,35,1,Sell,65.95937862083606,1661.52,2024-10-22,40,4
320,13,66,4,Buy,62.207489294071245,6039.1,2025-02-22,45,3
321,631,65,2,Buy,52.42720925476605,5611.81,2024-11-20,44,4
322,4,86,3,Buy,67.49763392464348,3993.16,2024-04-07,21,5
323,494,44,3,Sell,56.48840446484425,14812.95,2024-09-28,25,4
324,353,95,4,Buy,56.0998860868613,7690.17,2024-11-02,46,3
325,885,79,5,Buy,56.25064747908254,7554.46,2024-09-20,33,3
326,523,30,5,Buy,60.4516503938045,12537.67,2025-01-29,17,1
327,479,92,5,Sell,68.98690300603374,21041.01,2024-10-12,34,3
328,521,29,2,Sell,57.64897264578604,5855.98,2025-03-25,39,1
329,993,78,1,Sell,69.65188059621816,5614.64,2025-03-22,42,2
330,694,98,1,Buy,66.61982986724752,1728.12,2024-09-24,19,1
331,61,1,4,Buy,63.13711465015027,22229.32,2024-09-30,21,1
332,61,73,3,Sell,53.631705275862515,11201.52,2024-10-15,23,2
333,674,61,5,Buy,61.32005149387297,6714.55,2025-03-17,14,2
334,400,57,4,Sell,67.62026048156041,9558.8,2024-12-26,16,3
335,50,38,2,Sell,58.006235063591234,4848.16,2025-01-29,34,4
336,169,30,2,Buy,69.08163327227895,5731.01,2024-09-27,23,5
337,491,57,2,Sell,54.38828964534309,3844.16,2024-11-17,6,1
338,257,27,4,Buy,55.70003845919527,12343.13,2024-08-28,16,3
339,901,13,1,Sell,69.77547283007382,1875.56,2025-03-14,41,4
340,195,71,5,Sell,57.041379559846476,724.43,2024-07-30,21,3
341,678,15,4,Buy,67.35964108466389,18047.0,2025-03-11,45,3
342,828,19,5,Sell,58.71920278251074,10874.8,2024-05-01,37,3
343,917,82,5,Buy,52.97695729528231,13498.53,2025-01-12,5,5
344,614,95,2,Buy,54.37625950238677,3726.95,2024-05-09,6,4
345,568,73,5,Buy,54.37744921925195,18928.79,2024-07-30,9,4
346,487,56,3,Sell,57.310740793983065,13627.35,2025-01-25,14,5
347,894,80,1,Sell,61.81613834116827,3884.53,2024-11-21,37,4
348,574,32,3,Sell,66.3305373473992,16197.92,2024-04-06,31,5
349,349,48,2,Sell,54.30004691052341,8399.13,2024-06-04,42,4
350,388,48,1,Sell,52.60270291585793,4068.29,2024-10-12,50,2
351,858,15,3,Sell,61.03706831281165,12264.79,2025-01-25,25,1
352,814,14,2,Buy,61.52963403341988,10869.83,2024-12-03,8,1
353,674,91,1,Sell,57.5035154196553,5646.27,2024-07-27,35,1
354,363,30,5,Buy,56.38682699341028,11694.63,2024-12-06,37,4
355,995,45,3,Sell,68.13400812343794,16566.78,2024-10-15,39,5
356,911,74,4,Buy,51.098218152334795,5802.71,2024-07-08,18,5
357,663,81,4,Sell,56.12074431929456,915.89,2024-04-06,30,5
358,462,14,5,Sell,60.15638256425824,26568.07,2024-07-12,41,3
359,359,84,5,Sell,50.02146543735804,4406.89,2024-07-21,5,2
360,89,64,5,Sell,52.62287712078342,20864.97,2024-10-09,43,3
361,906,32,1,Buy,58.231177299013524,4740.02,2024-12-25,40,5
362,608,3,4,Buy,55.39073179233435,6790.9,2024-05-02,18,4
363,32,65,3,Sell,61.35199536414038,9850.68,2025-01-30,26,4
364,775,52,4,Sell,61.21777249855306,4988.02,2024-07-25,8,1
365,752,53,1,Sell,50.73596200463366,3365.82,2024-10-09,20,4
366,318,82,4,Buy,53.72225243851821,10950.74,2024-10-25,17,2
367,47,21,4,Buy,67.61288539726407,7256.21,2024-10-24,9,5
368,225,53,5,Sell,61.61959393818701,20439.22,2024-07-31,47,5
369,76,45,4,Buy,65.00281433093434,21073.91,2024-12-15,14,3
370,240,87,4,Buy,62.91732849764198,3238.98,2024-12-06,30,5
371,186,10,4,Sell,66.67148988120591,14889.08,2024-09-15,23,5
372,315,12,5,Sell,53.07455064371287,25717.27,2024-04-18,17,4
373,558,41,3,Sell,53.56636439068479,1844.83,2024-11-10,30,3
374,522,54,4,Sell,68.81801127418652,24474.44,2024-08-31,28,1
375,655,38,5,Sell,64.48325799419827,13473.78,2024-11-02,17,3
376,263,31,4,Buy,50.86749996324299,10973.14,2025-03-17,32,2
377,751,43,4,Buy,64.48645885490293,13408.02,2025-03-11,47,4
378,429,33,5,Sell,69.2743021939378,1001.01,2024-11-30,44,5
379,364,68,1,Buy,59.02262871966877,3179.55,2025-01-02,39,2
380,947,52,4,Buy,63.746082754537554,5194.03,2024-08-18,19,3
381,772,85,4,Buy,65.13889483310982,15370.17,2024-12-24,8,3
382,988,100,2,Sell,67.45960248739314,5945.89,2024-04-26,43,1
383,211,9,2,Buy,56.92261452721574,6653.12,2024-12-10,35,1
384,929,1,4,Sell,58.06429591803081,20443.28,2025-03-23,42,1
385,626,75,3,Buy,63.574519683040315,9381.69,2024-11-10,42,2
386,228,25,2,Buy,66.99423788187718,2638.23,2024-07-16,35,4
