BuybackID,CustomerID,ItemID,WeightGram,BuybackRate,AmountPaid,Date,BranchID
91,3,53,4.67,58.34,272.45,2024-12-24,3
92,139,14,7.92,46.93,371.69,2024-11-23,5
93,128,17,43.88,61.1,2681.07,2024-04-16,2
94,714,49,26.72,37.4,999.33,2024-05-16,3
95,671,45,2.12,48.32,102.44,2024-10-13,5
96,277,48,13.34,35.83,477.97,2024-09-07,2
97,709,19,38.38,57.1,2191.5,2024-10-06,4
98,848,55,7.12,41.16,293.06,2024-07-04,2
99,711,75,44.1,46.03,2029.92,2024-07-16,5
100,875,13,2.39,53.56,128.01,2025-01-20,2
101,552,47,20.78,54.73,1137.29,2024-07-05,5
102,614,31,31.59,50.45,1593.72,2024-05-31,4
103,424,34,24.61,45.91,1129.85,2024-06-08,1
104,310,100,42.74,59.73,2552.86,2025-01-30,4
105,593,93,11.53,45.91,529.34,2024-06-08,2
106,941,60,42.43,35.05,1487.17,2025-02-01,4
107,37,51,40.85,51.55,2105.82,2024-12-23,1
108,994,33,4.25,51.37,218.32,2025-02-10,4
109,742,89,34.12,62.28,2124.99,2024-11-29,1
110,401,20,40.16,51.79,2079.89,2024-05-28,1
111,607,83,48.65,44.7,2174.66,2024-08-14,3
112,784,63,19.78,43.24,855.29,2025-03-30,4
113,938,10,47.27,46.22,2184.82,2025-01-17,3
114,407,98,34.07,45.61,1553.93,2024-04-09,2
115,62,85,12.2,38.32,467.5,2024-12-21,4
116,36,92,10.15,44.43,450.96,2024-09-28,5
117,877,40,26.06,49.88,1299.87,2024-06-04,5
118,179,9,35.24,44.75,1576.99,2024-05-11,2
119,81,88,20.76,49.9,1035.92,2025-01-11,5
120,676,8,1.52,45.65,69.39,2024-09-22,5
121,883,22,46.08,57.94,2669.88,2024-06-13,2
122,570,52,34.41,41.57,1430.42,2025-01-03,2
123,377,84,48.07,43.73,2102.1,2024-10-10,3
124,14,62,33.15,44.29,1468.21,2025-01-12,4
125,260,20,34.88,58.34,2034.9,2024-12-24,3
126,416,60,36.28,46.73,1695.36,2024-10-06,4
127,111,91,22.05,62.28,1373.27,2024-11-29,3
128,265,86,34.03,50.9,1732.13,2025-02-21,3
129,332,76,25.18,54.89,1382.13,2025-02-20,2
130,439,74,9.47,48.74,461.57,2024-08-09,2
131,150,44,11.53,47.27,545.02,2024-11-16,5
132,418,85,48.48,40.48,1962.47,2025-03-18,3
133,395,1,13.46,33.99,457.51,2024-11-28,2
134,144,61,36.81,42.05,1547.86,2024-12-27,5
135,50,62,31.82,46.46,1478.36,2024-07-09,4
136,953,41,19.91,59.25,1179.67,2024-07-23,4
137,5,59,10.02,40.89,409.72,2024-06-28,1
138,269,54,21.01,44.81,941.46,2024-04-23,4
139,964,34,11.93,60.71,724.27,2024-06-26,5
140,91,87,9.88,54.33,536.78,2024-11-02,5
141,232,51,43.07,55.84,2405.03,2025-02-13,4
142,981,78,20.58,49.42,1017.06,2025-03-29,2
143,432,88,37.18,46.74,1737.79,2024-07-20,4
144,275,19,14.81,46.83,693.55,2024-04-19,4
145,397,52,20.79,37.94,788.77,2025-02-28,4
146,67,95,12.77,57.18,730.19,2025-02-22,2
147,60,99,7.29,44.22,322.36,2025-02-09,3
148,645,88,50.0,54.68,2734.0,2024-05-11,2
149,304,91,13.29,46.26,614.8,2025-03-03,2
150,233,67,39.7,52.85,2098.14,2025-03-30,1
151,806,35,31.52,40.72,1283.49,2024-06-15,5
152,464,2,45.86,45.82,2101.31,2024-10-24,2
153,290,23,28.96,46.71,1352.72,2024-05-01,3
154,165,96,18.14,48.67,882.87,2024-09-02,1
155,181,72,21.75,55.84,1214.52,2025-02-13,2
156,657,93,11.41,62.72,715.64,2024-11-09,2
157,426,89,25.19,60.23,1517.19,2025-01-25,5
158,55,5,32.54,57.18,1860.64,2025-02-22,4
159,11,88,42.66,57.73,2462.76,2025-02-16,2
160,782,20,7.3,62.47,456.03,2024-11-12,4
161,505,42,13.82,45.52,629.09,2024-12-31,5
162,471,96,33.81,54.4,1839.26,2024-06-30,1
163,816,63,20.21,40.81,824.77,2024-06-04,4
164,117,90,24.4,37.29,909.88,2025-02-04,5
165,694,63,9.17,36.24,332.32,2024-10-13,2
166,419,14,8.23,58.11,478.25,2024-05-03,4
167,28,47,21.05,44.3,932.52,2024-10-13,1
168,698,74,22.09,44.41,981.02,2024-11-20,1
169,644,36,20.47,45.71,935.68,2024-05-16,2
170,432,7,46.96,38.21,1794.34,2025-01-21,1
171,87,18,9.69,45.34,439.34,2025-03-22,2
172,917,50,12.83,41.18,528.34,2025-02-20,1
173,964,90,28.05,44.53,1249.07,2024-11-19,5
174,302,94,39.93,59.7,2383.82,2024-04-18,5
175,921,73,10.14,43.0,436.02,2025-02-17,5
176,45,50,37.23,44.43,1654.13,2024-07-23,3
177,353,9,39.86,37.07,1477.61,2024-06-10,2
178,640,20,31.3,46.22,1446.69,2025-01-17,3
179,547,12,12.02,49.78,598.36,2024-09-12,1
180,264,22,47.75,54.89,2621.0,2025-02-20,3
181,15,66,30.59,38.31,1171.9,2024-04-19,1
182,996,64,19.09,49.72,949.15,2025-02-04,3
183,63,26,17.0,46.43,789.31,2024-08-11,4
184,243,37,13.15,44.7,587.81,2024-08-14,1
185,266,5,25.09,59.7,1497.87,2024-04-18,3
186,748,69,42.54,47.47,2019.37,2024-08-20,3
187,934,80,34.4,62.25,2141.4,2024-10-08,2
188,577,94,34.96,53.86,1882.95,2025-03-31,4
189,122,14,36.65,62.03,2273.4,2025-02-14,5
190,121,30,3.36,47.91,160.98,2024-12-26,3
191,4,60,14.72,42.22,621.48,2024-05-30,2
192,448,49,11.28,42.76,482.33,2024-08-21,2
193,982,12,36.23,47.63,1725.63,2024-08-24,1
194,357,61,8.2,46.25,379.25,2024-12-03,1
195,884,56,31.44,57.56,1809.69,2024-10-17,1
196,315,51,7.2,53.48,385.06,2025-01-13,2
197,824,37,19.56,43.58,852.42,2024-05-03,2
198,971,10,44.52,56.99,2537.19,2024-04-29,1
199,298,41,1.76,50.06,88.11,2024-08-13,4
200,281,7,9.8,36.21,354.86,2024-04-28,1
201,379,20,7.73,60.84,470.29,2025-03-14,2
202,485,75,46.77,41.56,1943.76,2024-07-11,5
203,750,70,10.96,60.92,667.68,2025-02-13,1
204,805,90,24.76,35.03,867.34,2024-09-13,4
205,816,65,10.14,55.2,559.73,2024-06-09,5
206,710,23,7.89,56.35,444.6,2024-10-03,3
207,604,64,41.56,62.14,2582.54,2024-10-21,4
208,564,58,16.7,43.17,720.94,2024-10-17,1
209,689,93,9.38,47.76,447.99,2024-09-07,2
210,651,86,11.34,53.48,606.46,2024-07-10,1
211,569,77,40.43,46.82,1892.93,2024-12-29,1
212,865,32,30.51,52.85,1612.45,2024-10-23,2
213,790,64,2.58,49.65,128.1,2024-05-15,2
214,18,21,32.52,61.53,2000.96,2024-12-16,1
215,41,16,31.62,45.27,1431.44,2024-12-22,2
216,920,54,13.65,40.1,547.36,2024-07-30,2
217,257,4,11.42,50.62,578.08,2025-01-23,4
218,218,64,49.68,50.36,2501.88,2024-05-22,4
219,268,30,18.86,45.4,856.24,2024-12-05,2
220,461,13,42.66,52.77,2251.17,2024-10-17,2
221,635,72,20.71,41.4,857.39,2024-10-27,3
222,952,87,26.35,61.53,1621.32,2024-07-28,2
223,765,54,34.82,43.17,1503.18,2024-10-17,5
224,489,37,30.79,37.58,1157.09,2024-09-20,1
225,417,85,29.31,45.57,1335.66,2024-07-18,1
226,461,80,39.15,53.86,2108.62,2025-03-31,3
227,602,77,8.85,59.11,523.12,2024-08-06,4
228,879,93,7.85,62.47,490.39,2024-11-12,5
229,862,85,34.64,38.53,1334.68,2025-02-10,3
230,323,7,4.1,42.46,174.09,2025-03-17,2
231,458,45,32.74,50.1,1640.27,2025-01-22,4
232,859,94,30.81,51.37,1582.71,2025-02-10,2
233,987,65,43.98,62.03,2728.08,2025-02-14,5
234,495,83,7.56,38.8,293.33,2024-07-02,5
235,346,97,13.04,55.76,727.11,2025-03-14,2
236,105,55,25.74,46.6,1199.48,2024-05-29,1
237,521,65,49.91,50.98,2544.41,2024-07-20,5
238,784,58,49.34,46.91,2314.54,2024-04-25,4
239,390,20,23.66,57.28,1355.24,2024-11-27,5
240,137,49,2.41,39.38,94.91,2024-04-15,4
241,463,80,30.28,51.01,1544.58,2025-02-03,1
242,599,32,6.72,49.0,329.28,2024-12-18,4
243,584,73,26.17,45.52,1191.26,2024-04-21,4
244,608,63,4.69,44.23,207.44,2024-12-04,2
245,637,70,45.56,57.56,2622.43,2024-10-17,4
246,139,36,7.61,46.62,354.78,2024-10-18,2
247,800,34,4.8,62.36,299.33,2024-07-03,4
248,522,19,32.85,53.47,1756.49,2024-12-24,5
249,648,47,41.02,43.73,1793.8,2024-10-10,4
250,288,83,16.91,39.69,671.16,2024-06-19,5
251,447,7,40.83,45.12,1842.25,2024-11-05,2
252,301,84,11.78,55.13,649.43,2024-10-19,1
253,107,85,19.82,38.17,756.53,2024-05-26,3
254,838,81,22.74,50.58,1150.19,2025-02-28,3
255,718,90,32.42,37.18,1205.38,2025-03-19,2
256,429,85,2.56,43.51,111.39,2024-12-20,4
257,383,84,3.49,53.86,187.97,2024-04-06,4
258,14,49,3.97,44.85,178.05,2024-09-23,1
259,182,10,15.5,59.73,925.82,2025-01-30,1
260,642,67,20.4,49.91,1018.16,2024-04-30,2
261,63,11,3.92,56.13,220.03,2024-05-19,2
262,423,57,13.39,49.14,657.98,2024-06-21,1
263,230,61,18.31,51.21,937.66,2024-08-31,2
264,957,20,12.15,58.82,714.66,2024-05-20,4
265,464,29,12.19,59.08,720.19,2024-07-24,2
266,216,70,48.73,54.31,2646.53,2024-06-15,2
267,476,27,6.04,49.72,300.31,2024-05-07,5
268,886,94,3.57,46.03,164.33,2024-08-27,3
269,759,37,18.59,38.53,716.27,2025-02-10,1
270,736,82,13.29,52.93,703.44,2024-06-19,1
271,514,96,41.46,53.24,2207.33,2024-11-25,1
272,332,72,30.0,53.08,1592.4,2024-11-24,5
273,924,85,8.23,33.97,279.57,2024-05-17,5
274,69,85,45.1,44.43,2003.79,2024-09-28,3
275,880,28,8.75,42.4,371.0,2024-11-03,3
276,260,16,1.01,62.99,63.62,2025-01-27,1
277,999,25,43.81,56.49,2474.83,2024-10-25,2
278,871,67,21.82,57.56,1255.96,2024-09-19,2
279,383,42,36.68,34.16,1252.99,2025-02-07,1
280,160,27,10.63,46.93,498.87,2024-11-23,2
281,584,42,33.86,42.22,1429.57,2024-05-30,1
282,577,72,27.81,43.16,1200.28,2024-09-04,3
283,825,85,38.91,38.81,1510.1,2024-04-22,1
284,260,43,17.78,45.68,812.19,2024-06-14,5
285,797,64,7.77,47.27,367.29,2024-11-16,3
286,975,11,19.94,59.05,1177.46,2025-01-12,1
287,315,16,27.79,45.5,1264.44,2024-11-10,2
288,216,54,13.93,43.43,604.98,2025-03-10,1
289,183,96,21.42,41.72,893.64,2024-12-09,3
290,720,46,12.41,46.43,576.2,2024-08-11,3
291,474,59,24.98,38.15,952.99,2025-03-28,4
292,164,43,3.24,55.76,180.66,2025-03-14,5
293,230,94,1.09,58.87,64.17,2024-05-13,5
294,376,27,42.44,62.25,2641.89,2024-10-08,3
295,253,3,3.6,45.15,162.54,2024-10-29,4
296,43,49,1.88,43.23,81.27,2025-01-07,3
297,433,32,4.1,44.03,180.52,2024-04-27,2
298,749,70,24.58,50.62,1244.24,2025-01-23,2
299,133,21,24.67,61.95,1528.31,2024-07-09,1
300,300,94,26.69,50.61,1350.78,2024-11-01,1
301,155,81,19.18,53.54,1026.9,2024-11-26,2
302,835,100,37.86,62.47,2365.11,2024-11-12,1
303,572,96,10.01,53.53,535.84,2025-02-12,3
304,208,41,3.48,62.23,216.56,2024-10-01,3
305,35,97,40.45,51.34,2076.7,2024-09-27,4
306,555,19,33.0,45.71,1508.43,2024-05-16,1
307,982,38,30.38,38.37,1165.68,2024-07-26,3
308,394,85,30.32,35.05,1062.72,2025-02-01,5
309,233,88,4.32,45.52,196.65,2024-04-21,4
310,859,44,30.09,50.61,1522.85,2024-11-01,1
311,532,94,32.41,61.3,1986.73,2025-03-24,3
312,816,45,19.71,45.29,892.67,2024-05-17,2
313,939,78,37.97,50.98,1935.71,2024-07-20,4
314,483,86,27.52,48.74,1341.32,2024-08-09,2
315,710,34,28.69,56.3,1615.25,2024-08-28,5
316,642,51,5.97,55.62,332.05,2024-12-06,3
317,368,1,13.11,40.11,525.84,2024-11-18,5
318,918,10,16.8,61.47,1032.7,2024-10-03,1
319,381,56,21.56,61.59,1327.88,2024-04-26,5
320,669,64,34.93,52.07,1818.81,2024-08-04,2
321,686,30,36.2,42.17,1526.55,2024-06-02,4
322,195,72,15.46,46.62,720.75,2025-03-28,3
323,587,98,27.11,46.4,1257.9,2024-11-01,5
324,301,71,45.28,46.76,2117.29,2024-10-11,1
325,725,40,25.73,54.67,1406.66,2025-02-02,2
326,478,24,29.86,43.56,1300.7,2024-11-07,3
327,547,44,19.6,53.13,1041.35,2024-07-27,2
328,486,85,41.34,43.77,1809.45,2025-01-28,1
329,210,2,24.75,40.72,1007.82,2024-06-15,1
330,989,96,38.8,46.16,1791.01,2024-05-22,1
331,426,51,20.27,48.96,992.42,2024-12-12,1
332,591,33,12.03,59.67,717.83,2024-05-23,2
333,130,8,4.91,51.64,253.55,2025-03-01,1
334,217,16,42.17,46.73,1970.6,2024-12-30,1
335,684,51,12.39,45.63,565.36,2024-09-12,1
336,861,88,35.91,48.12,1727.99,2024-04-15,2
337,4,29,18.37,62.25,1143.53,2024-10-08,4
338,882,75,46.39,40.48,1877.87,2025-03-18,1
339,765,1,20.8,43.17,897.94,2024-10-17,3
340,553,47,26.08,51.38,1339.99,2025-03-11,1
341,476,94,28.84,47.38,1366.44,2024-09-03,3
342,992,92,30.2,34.69,1047.64,2025-01-31,3
343,204,45,21.86,62.08,1357.07,2024-12-10,5
344,943,54,39.73,45.11,1792.22,2024-10-19,4
345,239,11,19.14,56.61,1083.52,2025-03-17,4
346,754,76,7.45,62.35,464.51,2024-10-11,2
347,684,62,35.28,34.31,1210.46,2024-10-16,3
348,575,78,26.57,52.93,1406.35,2024-06-19,2
349,16,58,5.2,44.48,231.3,2024-05-08,3
350,296,3,41.29,52.7,2175.98,2024-10-14,5
351,569,14,21.09,60.91,1284.59,2024-09-01,5
352,32,53,26.65,54.34,1448.16,2024-09-29,5
353,223,67,27.75,50.75,1408.31,2024-04-02,3
354,48,40,8.7,56.96,495.55,2024-10-21,3
355,844,36,35.55,41.56,1477.46,2025-02-25,4
356,536,10,49.45,50.65,2504.64,2025-01-18,3
357,278,84,30.51,57.73,1761.34,2025-02-16,3
358,178,13,47.15,54.45,2567.32,2024-10-02,5
359,426,16,33.56,45.29,1519.93,2024-05-17,1
360,446,92,8.01,44.93,359.89,2024-10-30,5
361,651,92,29.19,44.81,1308.0,2024-04-23,5
362,644,52,26.78,38.13,1021.12,2024-05-21,1
363,776,63,1.03,39.08,40.25,2024-08-26,2
364,277,7,36.7,44.43,1630.58,2024-07-23,1
365,124,5,7.47,49.65,370.89,2024-04-21,2
366,903,83,8.06,45.17,364.07,2024-09-25,1
367,557,60,4.83,45.82,221.31,2024-04-16,3
368,88,73,41.23,46.62,1922.14,2025-03-28,4
369,404,71,4.07,42.63,173.5,2025-03-07,5
370,796,7,26.45,44.35,1173.06,2025-02-05,3
371,313,50,16.79,43.46,729.69,2025-03-06,3
372,991,36,17.52,46.43,813.45,2025-01-18,5
373,665,56,18.9,61.16,1155.92,2024-11-04,3
374,419,63,20.01,42.17,843.82,2024-12-23,3
375,830,71,48.82,39.85,1945.48,2024-07-27,5
376,530,90,37.48,46.6,1746.57,2024-10-21,5
377,924,36,6.17,44.2,272.71,2024-08-01,5
378,60,28,13.46,54.33,731.28,2024-06-03,4
379,702,71,29.3,44.49,1303.56,2024-10-04,1
380,665,19,41.54,44.25,1838.14,2024-04-28,1
381,297,79,31.9,41.73,1331.19,2024-08-05,5
382,648,55,19.02,44.55,847.34,2024-10-02,5
383,474,4,16.58,60.69,1006.24,2024-04-24,4
384,27,1,9.57,36.1,345.48,2024-07-06,1
385,636,7,41.86,41.16,1722.96,2024-07-04,4
386,393,94,7.65,48.6,371.79,2024-07-21,1
387,513,62,30.63,42.37,1297.79,2024-10-25,3
388,271,62,21.13,46.6,984.66,2024-10-21,2
389,74,47,36.9,46.86,1729.13,2024-04-04,2
390,350,75,16.82,43.75,735.88,2024-12-24,3
391,884,62,3.49,36.8,128.43,2025-02-19,1
392,43,75,45.15,45.12,2037.17,2024-11-05,3
393,584,92,22.05,34.06,751.02,2024-06-25,4
394,758,57,31.54,51.34,1619.26,2024-09-27,5
395,297,27,41.12,47.63,1958.55,2024-08-24,1
396,903,16,14.67,51.6,756.97,2025-03-16,3
397,667,75,17.9,44.67,799.59,2024-10-31,2
398,836,92,21.26,45.51,967.54,2024-12-06,3
399,206,40,24.49,53.81,1317.81,2025-01-08,2
400,508,4,14.42,59.64,860.01,2025-02-02,5
401,330,96,13.71,43.04,590.08,2024-06-17,5
402,473,98,15.91,42.92,682.86,2024-10-05,1
403,170,3,48.51,42.04,2039.36,2024-05-05,1
404,71,63,15.55,39.79,618.73,2025-02-23,4
405,37,89,35.38,48.6,1719.47,2024-07-21,2
406,15,62,5.27,42.74,225.24,2024-04-29,2
407,172,58,46.63,37.42,1744.89,2024-09-16,5
408,343,15,5.71,43.63,249.13,2024-09-10,4
409,962,36,42.55,54.67,2326.21,2024-10-22,1
410,641,63,23.83,41.48,988.47,2025-03-13,1
411,288,27,40.33,45.87,1849.94,2024-12-27,5
412,461,55,30.88,43.39,1339.88,2024-05-02,1
413,367,74,27.82,52.34,1456.1,2024-06-20,3
414,322,71,26.52,46.6,1235.83,2024-10-21,5
415,840,16,20.68,56.61,1170.69,2025-03-17,1
416,955,59,46.59,46.06,2145.94,2024-09-18,1
417,336,10,6.7,57.71,386.66,2024-04-10,1
418,256,75,29.38,38.13,1120.26,2024-05-21,2
419,948,32,24.78,48.74,1207.78,2024-08-09,2
420,504,17,15.08,47.27,712.83,2024-11-16,5
421,457,30,39.11,41.79,1634.41,2024-05-18,4
422,564,76,41.6,59.08,2457.73,2024-07-24,1
423,914,12,47.01,59.69,2806.03,2024-04-20,3
424,609,2,42.76,43.16,1845.52,2024-12-15,2
425,925,67,16.08,53.78,864.78,2024-11-06,5
426,223,97,18.14,55.84,1012.94,2024-09-01,3
427,547,92,43.06,35.09,1510.98,2024-07-19,4
428,7,97,15.15,57.62,872.94,2025-01-15,1
429,804,63,20.7,38.8,803.16,2024-07-02,2
430,189,73,28.74,54.64,1570.35,2024-08-14,4
431,115,44,32.63,46.93,1531.33,2024-11-23,3
432,334,75,29.29,38.7,1133.52,2025-03-16,2
433,849,86,20.05,46.83,938.94,2024-04-19,4
434,235,43,30.28,56.25,1703.25,2024-07-16,2
435,999,18,16.14,43.79,706.77,2025-02-12,2
436,679,4,47.0,59.27,2785.69,2024-06-03,4
437,374,97,35.41,46.16,1634.53,2024-05-22,3
438,259,12,34.25,61.42,2103.64,2024-08-18,5
439,108,17,44.92,56.85,2553.7,2025-03-07,5
440,476,15,43.16,39.05,1685.4,2024-08-04,5
441,733,8,43.32,50.11,2170.77,2024-09-20,1
442,439,69,21.19,48.26,1022.63,2025-03-26,1
443,604,87,49.69,55.83,2774.19,2024-09-06,4
444,689,77,19.67,55.31,1087.95,2025-03-13,2
445,972,18,6.43,38.96,250.51,2024-12-07,5
446,402,97,44.62,54.76,2443.39,2024-04-23,3
447,342,23,36.22,53.08,1922.56,2024-11-24,3
448,632,58,9.6,37.97,364.51,2025-01-23,1
449,853,72,49.43,54.38,2688.0,2025-03-09,4
450,17,74,20.9,55.62,1162.46,2024-12-06,3
451,859,53,39.6,53.65,2124.54,2024-04-17,4
452,535,13,24.27,55.89,1356.45,2024-06-11,2
453,969,66,49.42,34.7,1714.87,2024-11-03,4
454,760,26,34.73,59.63,2070.95,2024-10-22,3
455,633,98,33.87,46.62,1579.02,2025-03-28,4
456,129,59,8.71,43.43,378.28,2025-03-10,5
457,476,32,7.68,53.15,408.19,2024-08-30,5
458,372,4,48.93,62.13,3040.02,2024-05-04,3
459,597,100,5.68,62.47,354.83,2024-11-12,3
460,713,53,32.7,52.07,1702.69,2024-08-04,1
461,38,83,46.14,45.63,2105.37,2025-03-14,3
462,749,15,40.12,39.92,1601.59,2024-08-23,5
463,289,67,34.52,54.14,1868.91,2025-01-12,3
464,455,71,15.83,44.76,708.55,2024-05-23,4
465,825,96,28.48,52.41,1492.64,2024-07-07,3
466,293,78,5.09,60.91,310.03,2024-09-01,3
467,408,23,38.27,47.41,1814.38,2024-07-02,3
468,478,7,20.04,34.12,683.76,2024-11-10,2
469,632,38,44.39,46.03,2043.27,2024-07-16,4
470,391,80,34.27,51.79,1774.84,2024-05-28,5
471,632,91,18.65,61.88,1154.06,2025-01-05,3
472,856,31,39.79,45.59,1814.03,2024-05-18,1
473,16,46,47.98,48.28,2316.47,2024-04-28,1
474,701,100,8.63,50.36,434.61,2024-05-22,1
475,64,52,43.09,37.97,1636.13,2025-01-23,5
476,813,82,43.48,55.3,2404.44,2024-05-09,3
477,235,21,5.0,55.94,279.7,2024-06-24,3
478,874,17,35.44,49.94,1769.87,2024-04-14,3
479,963,55,41.72,38.24,1595.37,2024-07-20,4
480,852,58,49.27,37.42,1843.68,2024-09-16,4
481,899,14,4.77,60.88,290.4,2024-07-12,4
482,324,63,40.9,34.89,1427.0,2024-04-03,3
483,879,12,42.06,49.72,2091.22,2025-02-04,4
484,66,47,45.74,42.84,1959.5,2025-02-01,5
485,647,73,12.64,42.92,542.51,2024-12-29,5
486,774,51,26.67,41.4,1104.14,2024-10-27,5
487,258,36,23.83,49.61,1182.21,2024-05-27,3
488,171,88,32.84,56.01,1839.37,2024-04-16,2
489,533,6,7.2,44.43,319.9,2024-07-23,5
490,691,94,1.55,49.9,77.34,2024-09-16,2
491,161,76,42.63,58.34,2487.03,2024-12-24,5
492,125,87,38.74,53.17,2059.81,2024-08-09,5
493,2,41,6.96,49.94,347.58,2024-04-14,4
494,140,32,30.06,46.61,1401.1,2024-08-10,2
495,578,8,29.3,46.03,1348.68,2024-08-27,2
496,318,28,13.08,56.97,745.17,2024-08-08,1
497,285,94,20.62,52.67,1086.06,2025-03-27,4
498,657,83,25.42,43.76,1112.38,2025-01-13,5
499,839,59,41.92,41.13,1724.17,2024-11-22,2
500,649,25,42.05,54.67,2298.87,2024-09-17,5
501,401,23,33.31,41.56,1384.36,2025-02-25,3
502,794,89,30.51,45.53,1389.12,2024-08-05,5
503,437,45,1.62,49.27,79.82,2024-10-29,4
