PricingID,Karat,MarketRatePerGram,EffectiveDate
128,22,59.96,2024-05-13
129,24,65.41,2024-05-13
130,18,40.01,2024-05-14
131,22,48.9,2024-05-14
132,24,53.34,2024-05-14
133,18,41.38,2024-05-15
134,22,50.57,2024-05-15
135,24,55.17,2024-05-15
136,18,41.56,2024-05-16
137,22,50.79,2024-05-16
138,24,55.41,2024-05-16
139,18,37.74,2024-05-17
140,22,46.13,2024-05-17
141,24,50.32,2024-05-17
142,18,37.99,2024-05-18
143,22,46.43,2024-05-18
144,24,50.66,2024-05-18
145,18,46.78,2024-05-19
146,22,57.17,2024-05-19
147,24,62.37,2024-05-19
148,18,49.01,2024-05-20
149,22,59.9,2024-05-20
150,24,65.35,2024-05-20
151,18,42.37,2024-05-21
152,22,51.79,2024-05-21
153,24,56.5,2024-05-21
154,18,41.96,2024-05-22
155,22,51.29,2024-05-22
156,24,55.95,2024-05-22
157,18,49.73,2024-05-23
158,22,60.78,2024-05-23
159,24,66.3,2024-05-23
160,18,46.06,2024-05-24
161,22,56.29,2024-05-24
162,24,61.41,2024-05-24
163,18,51.09,2024-05-25
164,22,62.44,2024-05-25
165,24,68.12,2024-05-25
166,18,42.41,2024-05-26
167,22,51.84,2024-05-26
168,24,56.55,2024-05-26
169,18,45.1,2024-05-27
170,22,55.12,2024-05-27
171,24,60.13,2024-05-27
172,18,43.16,2024-05-28
173,22,52.75,2024-05-28
174,24,57.54,2024-05-28
175,18,51.78,2024-05-29
176,22,63.28,2024-05-29
177,24,69.04,2024-05-29
178,18,46.91,2024-05-30
179,22,57.34,2024-05-30
180,24,62.55,2024-05-30
181,18,42.05,2024-05-31
182,22,51.39,2024-05-31
183,24,56.06,2024-05-31
184,18,42.97,2024-06-01
185,22,52.52,2024-06-01
186,24,57.29,2024-06-01
187,18,38.34,2024-06-02
188,22,46.86,2024-06-02
189,24,51.12,2024-06-02
190,18,49.4,2024-06-03
191,22,60.37,2024-06-03
192,24,65.86,2024-06-03
193,18,45.34,2024-06-04
194,22,55.42,2024-06-04
195,24,60.46,2024-06-04
196,18,51.56,2024-06-05
197,22,63.02,2024-06-05
198,24,68.75,2024-06-05
199,18,38.02,2024-06-06
200,22,46.47,2024-06-06
201,24,50.69,2024-06-06
202,18,46.21,2024-06-07
203,22,56.48,2024-06-07
204,24,61.61,2024-06-07
205,18,38.26,2024-06-08
206,22,46.76,2024-06-08
207,24,51.01,2024-06-08
208,18,46.0,2024-06-09
209,22,56.22,2024-06-09
210,24,61.33,2024-06-09
211,18,41.19,2024-06-10
212,22,50.34,2024-06-10
213,24,54.92,2024-06-10
214,18,50.81,2024-06-11
215,22,62.1,2024-06-11
216,24,67.75,2024-06-11
217,18,41.33,2024-06-12
218,22,50.51,2024-06-12
219,24,55.1,2024-06-12
220,18,48.29,2024-06-13
221,22,59.02,2024-06-13
222,24,64.38,2024-06-13
223,18,41.52,2024-06-14
224,22,50.75,2024-06-14
225,24,55.36,2024-06-14
226,18,45.25,2024-06-15
227,22,55.31,2024-06-15
228,24,60.34,2024-06-15
229,18,43.09,2024-06-16
230,22,52.67,2024-06-16
231,24,57.45,2024-06-16
232,18,39.13,2024-06-17
233,22,47.82,2024-06-17
234,24,52.17,2024-06-17
235,18,49.92,2024-06-18
236,22,61.01,2024-06-18
237,24,66.55,2024-06-18
238,18,44.1,2024-06-19
239,22,53.91,2024-06-19
240,24,58.81,2024-06-19
241,18,47.59,2024-06-20
242,22,58.16,2024-06-20
243,24,63.45,2024-06-20
244,18,44.67,2024-06-21
245,22,54.6,2024-06-21
246,24,59.56,2024-06-21
247,18,40.66,2024-06-22
248,22,49.7,2024-06-22
249,24,54.22,2024-06-22
250,18,51.2,2024-06-23
251,22,62.57,2024-06-23
252,24,68.26,2024-06-23
253,18,46.61,2024-06-24
254,22,56.97,2024-06-24
255,24,62.15,2024-06-24
256,18,37.84,2024-06-25
257,22,46.24,2024-06-25
258,24,50.45,2024-06-25
259,18,50.59,2024-06-26
260,22,61.84,2024-06-26
261,24,67.46,2024-06-26
262,18,43.85,2024-06-27
263,22,53.6,2024-06-27
264,24,58.47,2024-06-27
265,18,45.43,2024-06-28
266,22,55.52,2024-06-28
267,24,60.57,2024-06-28
268,18,43.69,2024-06-29
269,22,53.4,2024-06-29
270,24,58.25,2024-06-29
271,18,49.45,2024-06-30
272,22,60.44,2024-06-30
273,24,65.93,2024-06-30
274,18,42.74,2024-07-01
275,22,52.23,2024-07-01
276,24,56.98,2024-07-01
277,18,43.11,2024-07-02
278,22,52.68,2024-07-02
279,24,57.47,2024-07-02
280,18,51.97,2024-07-03
281,22,63.52,2024-07-03
282,24,69.29,2024-07-03
283,18,45.73,2024-07-04
284,22,55.89,2024-07-04
285,24,60.97,2024-07-04
286,18,49.75,2024-07-05
287,22,60.81,2024-07-05
288,24,66.34,2024-07-05
289,18,40.11,2024-07-06
290,22,49.03,2024-07-06
291,24,53.49,2024-07-06
292,18,47.64,2024-07-07
293,22,58.23,2024-07-07
294,24,63.52,2024-07-07
295,18,46.45,2024-07-08
296,22,56.77,2024-07-08
297,24,61.93,2024-07-08
298,18,51.62,2024-07-09
299,22,63.1,2024-07-09
300,24,68.83,2024-07-09
301,18,48.62,2024-07-10
302,22,59.42,2024-07-10
303,24,64.82,2024-07-10
304,18,46.18,2024-07-11
305,22,56.44,2024-07-11
306,24,61.57,2024-07-11
307,18,50.73,2024-07-12
308,22,62.0,2024-07-12
309,24,67.64,2024-07-12
310,18,43.4,2024-07-13
311,22,53.05,2024-07-13
312,24,57.87,2024-07-13
313,18,50.33,2024-07-14
314,22,61.51,2024-07-14
315,24,67.11,2024-07-14
316,18,48.84,2024-07-15
317,22,59.69,2024-07-15
318,24,65.12,2024-07-15
319,18,51.14,2024-07-16
320,22,62.5,2024-07-16
321,24,68.19,2024-07-16
322,18,49.58,2024-07-17
323,22,60.6,2024-07-17
324,24,66.11,2024-07-17
325,18,50.63,2024-07-18
326,22,61.88,2024-07-18
327,24,67.51,2024-07-18
328,18,38.99,2024-07-19
329,22,47.65,2024-07-19
330,24,51.98,2024-07-19
331,18,42.49,2024-07-20
332,22,51.93,2024-07-20
333,24,56.65,2024-07-20
334,18,40.5,2024-07-21
335,22,49.5,2024-07-21
336,24,54.0,2024-07-21
337,18,43.7,2024-07-22
338,22,53.41,2024-07-22
339,24,58.27,2024-07-22
340,18,49.37,2024-07-23
341,22,60.34,2024-07-23
342,24,65.83,2024-07-23
343,18,49.23,2024-07-24
344,22,60.17,2024-07-24
345,24,65.64,2024-07-24
346,18,45.41,2024-07-25
347,22,55.5,2024-07-25
348,24,60.54,2024-07-25
349,18,42.63,2024-07-26
350,22,52.1,2024-07-26
351,24,56.84,2024-07-26
352,18,44.28,2024-07-27
353,22,54.12,2024-07-27
354,24,59.03,2024-07-27
355,18,51.28,2024-07-28
356,22,62.68,2024-07-28
357,24,68.37,2024-07-28
358,18,44.09,2024-07-29
359,22,53.89,2024-07-29
360,24,58.79,2024-07-29
361,18,44.55,2024-07-30
362,22,54.45,2024-07-30
363,24,59.4,2024-07-30
364,18,38.5,2024-07-31
365,22,47.06,2024-07-31
366,24,51.34,2024-07-31
367,18,40.18,2024-08-01
368,22,49.11,2024-08-01
369,24,53.57,2024-08-01
370,18,41.77,2024-08-02
371,22,51.05,2024-08-02
372,24,55.69,2024-08-02
373,18,42.46,2024-08-03
374,22,51.9,2024-08-03
375,24,56.62,2024-08-03
376,18,43.39,2024-08-04
377,22,53.03,2024-08-04
378,24,57.85,2024-08-04
379,18,37.94,2024-08-05
380,22,46.37,2024-08-05
381,24,50.59,2024-08-05
382,18,49.26,2024-08-06
383,22,60.21,2024-08-06
384,24,65.68,2024-08-06
385,18,43.23,2024-08-07
386,22,52.83,2024-08-07
387,24,57.64,2024-08-07
388,18,51.79,2024-08-08
389,22,63.3,2024-08-08
390,24,69.05,2024-08-08
391,18,44.31,2024-08-09
392,22,54.16,2024-08-09
393,24,59.08,2024-08-09
394,18,42.37,2024-08-10
395,22,51.79,2024-08-10
396,24,56.5,2024-08-10
397,18,38.7,2024-08-11
398,22,47.29,2024-08-11
399,24,51.59,2024-08-11
400,18,42.58,2024-08-12
401,22,52.04,2024-08-12
402,24,56.77,2024-08-12
403,18,41.71,2024-08-13
404,22,50.98,2024-08-13
405,24,55.62,2024-08-13
406,18,49.67,2024-08-14
407,22,60.71,2024-08-14
408,24,66.23,2024-08-14
409,18,48.67,2024-08-15
410,22,59.49,2024-08-15
411,24,64.89,2024-08-15
412,18,40.0,2024-08-16
413,22,48.89,2024-08-16
414,24,53.34,2024-08-16
415,18,48.05,2024-08-17
416,22,58.73,2024-08-17
417,24,64.06,2024-08-17
418,18,51.19,2024-08-18
419,22,62.56,2024-08-18
420,24,68.25,2024-08-18
421,18,49.83,2024-08-19
422,22,60.9,2024-08-19
423,24,66.44,2024-08-19
424,18,43.15,2024-08-20
425,22,52.74,2024-08-20
426,24,57.53,2024-08-20
427,18,47.51,2024-08-21
428,22,58.07,2024-08-21
429,24,63.35,2024-08-21
430,18,43.87,2024-08-22
431,22,53.62,2024-08-22
432,24,58.49,2024-08-22
433,18,44.36,2024-08-23
434,22,54.21,2024-08-23
435,24,59.14,2024-08-23
436,18,39.69,2024-08-24
437,22,48.51,2024-08-24
438,24,52.92,2024-08-24
439,18,49.9,2024-08-25
440,22,60.98,2024-08-25
441,24,66.53,2024-08-25
442,18,43.42,2024-08-26
443,22,53.07,2024-08-26
444,24,57.9,2024-08-26
445,18,38.36,2024-08-27
446,22,46.88,2024-08-27
447,24,51.14,2024-08-27
448,18,46.92,2024-08-28
449,22,57.35,2024-08-28
450,24,62.56,2024-08-28
451,18,48.69,2024-08-29
452,22,59.51,2024-08-29
453,24,64.92,2024-08-29
454,18,48.32,2024-08-30
455,22,59.06,2024-08-30
456,24,64.43,2024-08-30
457,18,46.56,2024-08-31
458,22,56.9,2024-08-31
459,24,62.08,2024-08-31
460,18,50.76,2024-09-01
461,22,62.04,2024-09-01
462,24,67.68,2024-09-01
463,18,44.25,2024-09-02
464,22,54.08,2024-09-02
465,24,58.99,2024-09-02
466,18,39.48,2024-09-03
467,22,48.25,2024-09-03
468,24,52.64,2024-09-03
469,18,39.24,2024-09-04
470,22,47.96,2024-09-04
471,24,52.32,2024-09-04
472,18,48.72,2024-09-05
473,22,59.55,2024-09-05
474,24,64.96,2024-09-05
475,18,46.52,2024-09-06
476,22,56.86,2024-09-06
477,24,62.03,2024-09-06
478,18,39.81,2024-09-07
479,22,48.65,2024-09-07
480,24,53.07,2024-09-07
481,18,51.58,2024-09-08
482,22,63.05,2024-09-08
483,24,68.78,2024-09-08
484,18,50.68,2024-09-09
485,22,61.94,2024-09-09
486,24,67.58,2024-09-09
487,18,48.48,2024-09-10
488,22,59.25,2024-09-10
489,24,64.64,2024-09-10
490,18,40.19,2024-09-11
491,22,49.12,2024-09-11
492,24,53.59,2024-09-11
493,18,41.48,2024-09-12
494,22,50.7,2024-09-12
495,24,55.31,2024-09-12
496,18,38.92,2024-09-13
497,22,47.56,2024-09-13
498,24,51.89,2024-09-13
499,18,47.62,2024-09-14
500,22,58.2,2024-09-14
501,24,63.49,2024-09-14
502,18,46.33,2024-09-15
503,22,56.63,2024-09-15
504,24,61.78,2024-09-15
505,18,41.58,2024-09-16
506,22,50.82,2024-09-16
507,24,55.44,2024-09-16
508,18,45.56,2024-09-17
509,22,55.68,2024-09-17
510,24,60.74,2024-09-17
511,18,51.18,2024-09-18
512,22,62.55,2024-09-18
513,24,68.24,2024-09-18
514,18,52.32,2024-09-19
515,22,63.95,2024-09-19
516,24,69.77,2024-09-19
517,18,41.76,2024-09-20
518,22,51.04,2024-09-20
519,24,55.68,2024-09-20
520,18,43.15,2024-09-21
521,22,52.74,2024-09-21
522,24,57.53,2024-09-21
523,18,38.04,2024-09-22
524,22,46.49,2024-09-22
525,24,50.72,2024-09-22
526,18,49.83,2024-09-23
527,22,60.91,2024-09-23
528,24,66.44,2024-09-23
529,18,39.84,2024-09-24
530,22,48.69,2024-09-24
531,24,53.12,2024-09-24
532,18,50.19,2024-09-25
533,22,61.34,2024-09-25
534,24,66.92,2024-09-25
535,18,46.32,2024-09-26
536,22,56.62,2024-09-26
537,24,61.76,2024-09-26
538,18,46.68,2024-09-27
539,22,57.05,2024-09-27
540,24,62.24,2024-09-27
541,18,49.37,2024-09-28
542,22,60.34,2024-09-28
543,24,65.82,2024-09-28
544,18,45.29,2024-09-29
545,22,55.35,2024-09-29
546,24,60.38,2024-09-29
547,18,51.98,2024-09-30
548,22,63.53,2024-09-30
549,24,69.3,2024-09-30
550,18,51.85,2024-10-01
551,22,63.38,2024-10-01
552,24,69.14,2024-10-01
553,18,49.5,2024-10-02
554,22,60.5,2024-10-02
555,24,66.0,2024-10-02
556,18,51.23,2024-10-03
557,22,62.61,2024-10-03
558,24,68.3,2024-10-03
559,18,49.43,2024-10-04
560,22,60.41,2024-10-04
561,24,65.9,2024-10-04
562,18,39.02,2024-10-05
563,22,47.69,2024-10-05
564,24,52.02,2024-10-05
565,18,51.92,2024-10-06
566,22,63.45,2024-10-06
567,24,69.22,2024-10-06
568,18,52.41,2024-10-07
569,22,64.05,2024-10-07
570,24,69.88,2024-10-07
571,18,51.88,2024-10-08
572,22,63.4,2024-10-08
573,24,69.17,2024-10-08
574,18,50.75,2024-10-09
575,22,62.02,2024-10-09
576,24,67.66,2024-10-09
577,18,39.76,2024-10-10
578,22,48.59,2024-10-10
579,24,53.01,2024-10-10
580,18,51.96,2024-10-11
581,22,63.51,2024-10-11
582,24,69.28,2024-10-11
583,18,46.27,2024-10-12
584,22,56.56,2024-10-12
585,24,61.7,2024-10-12
586,18,40.27,2024-10-13
587,22,49.22,2024-10-13
588,24,53.69,2024-10-13
589,18,47.9,2024-10-14
590,22,58.55,2024-10-14
591,24,63.87,2024-10-14
592,18,44.3,2024-10-15
593,22,54.15,2024-10-15
594,24,59.07,2024-10-15
595,18,38.12,2024-10-16
596,22,46.59,2024-10-16
597,24,50.82,2024-10-16
598,18,47.97,2024-10-17
599,22,58.63,2024-10-17
600,24,63.96,2024-10-17
601,18,42.38,2024-10-18
602,22,51.8,2024-10-18
603,24,56.51,2024-10-18
604,18,50.12,2024-10-19
605,22,61.26,2024-10-19
606,24,66.83,2024-10-19
607,18,41.37,2024-10-20
608,22,50.57,2024-10-20
609,24,55.16,2024-10-20
610,18,51.78,2024-10-21
611,22,63.29,2024-10-21
612,24,69.05,2024-10-21
613,18,49.7,2024-10-22
614,22,60.74,2024-10-22
615,24,66.26,2024-10-22
616,18,48.05,2024-10-23
617,22,58.72,2024-10-23
618,24,64.06,2024-10-23
619,18,50.91,2024-10-24
620,22,62.23,2024-10-24
621,24,67.88,2024-10-24
622,18,47.08,2024-10-25
623,22,57.54,2024-10-25
624,24,62.77,2024-10-25
625,18,46.46,2024-10-26
626,22,56.79,2024-10-26
627,24,61.95,2024-10-26
628,18,37.64,2024-10-27
629,22,46.0,2024-10-27
630,24,50.18,2024-10-27
631,18,39.54,2024-10-28
632,22,48.32,2024-10-28
633,24,52.71,2024-10-28
634,18,41.05,2024-10-29
635,22,50.17,2024-10-29
636,24,54.74,2024-10-29
637,18,49.92,2024-10-30
638,22,61.01,2024-10-30
639,24,66.56,2024-10-30
640,18,49.63,2024-10-31
641,22,60.66,2024-10-31
642,24,66.18,2024-10-31
643,18,42.17,2024-11-01
644,22,51.55,2024-11-01
645,24,56.23,2024-11-01
646,18,45.28,2024-11-02
647,22,55.34,2024-11-02
648,24,60.37,2024-11-02
649,18,38.55,2024-11-03
650,22,47.11,2024-11-03
651,24,51.4,2024-11-03
652,18,50.96,2024-11-04
653,22,62.29,2024-11-04
654,24,67.95,2024-11-04
655,18,50.13,2024-11-05
656,22,61.28,2024-11-05
657,24,66.85,2024-11-05
658,18,48.89,2024-11-06
659,22,59.76,2024-11-06
660,24,65.19,2024-11-06
661,18,39.6,2024-11-07
662,22,48.4,2024-11-07
663,24,52.8,2024-11-07
664,18,49.46,2024-11-08
665,22,60.46,2024-11-08
666,24,65.95,2024-11-08
667,18,52.27,2024-11-09
668,22,63.88,2024-11-09
669,24,69.69,2024-11-09
670,18,37.91,2024-11-10
671,22,46.34,2024-11-10
672,24,50.55,2024-11-10
673,18,50.84,2024-11-11
674,22,62.13,2024-11-11
675,24,67.78,2024-11-11
676,18,52.06,2024-11-12
677,22,63.63,2024-11-12
678,24,69.41,2024-11-12
679,18,52.06,2024-11-13
680,22,63.63,2024-11-13
681,24,69.41,2024-11-13
682,18,42.07,2024-11-14
683,22,51.42,2024-11-14
684,24,56.1,2024-11-14
685,18,44.87,2024-11-15
686,22,54.84,2024-11-15
687,24,59.82,2024-11-15
688,18,39.39,2024-11-16
689,22,48.15,2024-11-16
690,24,52.52,2024-11-16
691,18,40.56,2024-11-17
692,22,49.57,2024-11-17
693,24,54.08,2024-11-17
694,18,44.57,2024-11-18
695,22,54.47,2024-11-18
696,24,59.42,2024-11-18
697,18,49.48,2024-11-19
698,22,60.48,2024-11-19
699,24,65.97,2024-11-19
700,18,40.37,2024-11-20
701,22,49.34,2024-11-20
702,24,53.83,2024-11-20
703,18,48.82,2024-11-21
704,22,59.67,2024-11-21
705,24,65.1,2024-11-21
706,18,45.7,2024-11-22
707,22,55.85,2024-11-22
708,24,60.93,2024-11-22
709,18,39.1,2024-11-23
710,22,47.79,2024-11-23
711,24,52.14,2024-11-23
712,18,48.26,2024-11-24
713,22,58.98,2024-11-24
714,24,64.34,2024-11-24
715,18,48.41,2024-11-25
716,22,59.16,2024-11-25
717,24,64.54,2024-11-25
718,18,44.62,2024-11-26
719,22,54.53,2024-11-26
720,24,59.49,2024-11-26
721,18,47.74,2024-11-27
722,22,58.35,2024-11-27
723,24,63.65,2024-11-27
724,18,37.77,2024-11-28
725,22,46.16,2024-11-28
726,24,50.35,2024-11-28
727,18,51.9,2024-11-29
728,22,63.44,2024-11-29
729,24,69.2,2024-11-29
730,18,43.78,2024-11-30
731,22,53.51,2024-11-30
732,24,58.38,2024-11-30
733,18,52.19,2024-12-01
734,22,63.79,2024-12-01
735,24,69.59,2024-12-01
736,18,48.02,2024-12-02
737,22,58.69,2024-12-02
738,24,64.03,2024-12-02
739,18,42.05,2024-12-03
740,22,51.39,2024-12-03
741,24,56.06,2024-12-03
742,18,49.14,2024-12-04
743,22,60.06,2024-12-04
744,24,65.52,2024-12-04
745,18,41.27,2024-12-05
746,22,50.44,2024-12-05
747,24,55.02,2024-12-05
748,18,50.57,2024-12-06
749,22,61.8,2024-12-06
750,24,67.42,2024-12-06
751,18,43.29,2024-12-07
752,22,52.91,2024-12-07
753,24,57.72,2024-12-07
754,18,39.83,2024-12-08
755,22,48.68,2024-12-08
756,24,53.11,2024-12-08
757,18,37.92,2024-12-09
758,22,46.35,2024-12-09
759,24,50.56,2024-12-09
760,18,51.74,2024-12-10
761,22,63.24,2024-12-10
762,24,68.98,2024-12-10
763,18,44.25,2024-12-11
764,22,54.09,2024-12-11
765,24,59.0,2024-12-11
766,18,44.51,2024-12-12
767,22,54.4,2024-12-12
768,24,59.35,2024-12-12
769,18,48.87,2024-12-13
770,22,59.73,2024-12-13
771,24,65.16,2024-12-13
772,18,39.18,2024-12-14
773,22,47.89,2024-12-14
774,24,52.24,2024-12-14
775,18,47.95,2024-12-15
776,22,58.61,2024-12-15
777,24,63.94,2024-12-15
778,18,51.28,2024-12-16
779,22,62.67,2024-12-16
780,24,68.37,2024-12-16
781,18,39.32,2024-12-17
782,22,48.05,2024-12-17
783,24,52.42,2024-12-17
784,18,44.55,2024-12-18
785,22,54.45,2024-12-18
786,24,59.4,2024-12-18
787,18,42.13,2024-12-19
788,22,51.49,2024-12-19
789,24,56.17,2024-12-19
790,18,48.34,2024-12-20
791,22,59.08,2024-12-20
792,24,64.46,2024-12-20
793,18,42.58,2024-12-21
794,22,52.04,2024-12-21
795,24,56.77,2024-12-21
796,18,37.73,2024-12-22
797,22,46.11,2024-12-22
798,24,50.3,2024-12-22
799,18,46.86,2024-12-23
800,22,57.28,2024-12-23
801,24,62.48,2024-12-23
802,18,48.61,2024-12-24
803,22,59.41,2024-12-24
804,24,64.82,2024-12-24
805,18,40.31,2024-12-25
806,22,49.27,2024-12-25
807,24,53.75,2024-12-25
808,18,43.55,2024-12-26
809,22,53.23,2024-12-26
810,24,58.07,2024-12-26
811,18,38.23,2024-12-27
812,22,46.72,2024-12-27
813,24,50.97,2024-12-27
814,18,48.45,2024-12-28
815,22,59.22,2024-12-28
816,24,64.6,2024-12-28
817,18,39.02,2024-12-29
818,22,47.69,2024-12-29
819,24,52.02,2024-12-29
820,18,38.94,2024-12-30
821,22,47.59,2024-12-30
822,24,51.92,2024-12-30
823,18,50.58,2024-12-31
824,22,61.82,2024-12-31
825,24,67.44,2024-12-31
826,18,50.99,2025-01-01
827,22,62.33,2025-01-01
828,24,67.99,2025-01-01
829,18,46.34,2025-01-02
830,22,56.64,2025-01-02
831,24,61.78,2025-01-02
832,18,46.19,2025-01-03
833,22,56.45,2025-01-03
834,24,61.58,2025-01-03
835,18,43.61,2025-01-04
836,22,53.3,2025-01-04
837,24,58.15,2025-01-04
838,18,51.57,2025-01-05
839,22,63.02,2025-01-05
840,24,68.75,2025-01-05
841,18,48.57,2025-01-06
842,22,59.36,2025-01-06
843,24,64.76,2025-01-06
844,18,48.03,2025-01-07
845,22,58.7,2025-01-07
846,24,64.04,2025-01-07
847,18,48.92,2025-01-08
848,22,59.79,2025-01-08
849,24,65.23,2025-01-08
850,18,40.41,2025-01-09
851,22,49.39,2025-01-09
852,24,53.88,2025-01-09
853,18,39.2,2025-01-10
854,22,47.91,2025-01-10
855,24,52.27,2025-01-10
856,18,45.36,2025-01-11
857,22,55.44,2025-01-11
858,24,60.48,2025-01-11
859,18,49.21,2025-01-12
860,22,60.15,2025-01-12
861,24,65.61,2025-01-12
862,18,48.62,2025-01-13
863,22,59.42,2025-01-13
864,24,64.82,2025-01-13
865,18,37.81,2025-01-14
866,22,46.21,2025-01-14
867,24,50.41,2025-01-14
868,18,52.38,2025-01-15
869,22,64.02,2025-01-15
870,24,69.84,2025-01-15
871,18,50.08,2025-01-16
872,22,61.21,2025-01-16
873,24,66.77,2025-01-16
874,18,38.51,2025-01-17
875,22,47.07,2025-01-17
876,24,51.35,2025-01-17
877,18,42.21,2025-01-18
878,22,51.59,2025-01-18
879,24,56.28,2025-01-18
880,18,43.58,2025-01-19
881,22,53.27,2025-01-19
882,24,58.11,2025-01-19
883,18,48.69,2025-01-20
884,22,59.51,2025-01-20
885,24,64.92,2025-01-20
886,18,42.46,2025-01-21
887,22,51.89,2025-01-21
888,24,56.61,2025-01-21
889,18,41.76,2025-01-22
890,22,51.03,2025-01-22
891,24,55.67,2025-01-22
892,18,42.19,2025-01-23
893,22,51.56,2025-01-23
894,24,56.25,2025-01-23
895,18,45.42,2025-01-24
896,22,55.51,2025-01-24
897,24,60.56,2025-01-24
898,18,50.19,2025-01-25
899,22,61.34,2025-01-25
900,24,66.92,2025-01-25
901,18,43.71,2025-01-26
902,22,53.42,2025-01-26
903,24,58.28,2025-01-26
904,18,52.49,2025-01-27
905,22,64.16,2025-01-27
906,24,69.99,2025-01-27
907,18,48.63,2025-01-28
908,22,59.44,2025-01-28
909,24,64.84,2025-01-28
910,18,50.53,2025-01-29
911,22,61.76,2025-01-29
912,24,67.38,2025-01-29
913,18,49.78,2025-01-30
914,22,60.84,2025-01-30
915,24,66.37,2025-01-30
916,18,38.54,2025-01-31
917,22,47.11,2025-01-31
918,24,51.39,2025-01-31
919,18,38.94,2025-02-01
920,22,47.6,2025-02-01
921,24,51.92,2025-02-01
922,18,49.7,2025-02-02
923,22,60.74,2025-02-02
924,24,66.27,2025-02-02
925,18,42.51,2025-02-03
926,22,51.96,2025-02-03
927,24,56.68,2025-02-03
928,18,41.43,2025-02-04
929,22,50.64,2025-02-04
